Symbol,Date,Open,High,Low,Close,Change,Bullish Bias,Bearish Bias
EURUSD,Mon 17 Nov '25,1.16199,1.16246,1.15820,1.15923,−0.00297 (−0.26%),0.00000,0.00000
EURUSD,Fri 14 Nov '25,1.16372,1.16538,1.16060,1.16220,−0.00125 (−0.11%),0.00000,0.00000
EURUSD,Thu 13 Nov '25,1.15930,1.16562,1.15790,1.16345,+0.00413 (+0.36%),1.00000,0.00000
EURUSD,Wed 12 Nov '25,1.15870,1.15977,1.15630,1.15932,+0.00107 (+0.09%),0.00000,0.00000
EURUSD,Tue 11 Nov '25,1.15564,1.16059,1.15472,1.15825,+0.00254 (+0.22%),0.00000,1.00000
EURUSD,Mon 10 Nov '25,1.15578,1.15831,1.15412,1.15571,−0.00093 (−0.08%),0.00000,0.00000
EURUSD,Fri 07 Nov '25,1.15450,1.15911,1.15296,1.15664,+0.00193 (+0.17%),1.00000,0.00000
EURUSD,Thu 06 Nov '25,1.14913,1.15523,1.14907,1.15471,+0.00546 (+0.48%),1.00000,0.00000
EURUSD,Wed 05 Nov '25,1.14834,1.14981,1.14686,1.14925,+0.00099 (+0.09%),1.00000,0.00000
EURUSD,Tue 04 Nov '25,1.15200,1.15337,1.14732,1.14826,−0.00364 (−0.32%),0.00000,1.00000
EURUSD,Mon 03 Nov '25,1.15317,1.15414,1.15052,1.15190,−0.00173 (−0.15%),0.00000,1.00000
EURUSD,Fri 31 Oct '25,1.15673,1.15776,1.15216,1.15363,−0.00290 (−0.25%),0.00000,1.00000
EURUSD,Thu 30 Oct '25,1.16010,1.16374,1.15470,1.15653,−0.00353 (−0.30%),0.00000,1.00000
EURUSD,Wed 29 Oct '25,1.16510,1.16659,1.15776,1.16006,−0.00516 (−0.44%),0.00000,1.00000
EURUSD,Tue 28 Oct '25,1.16456,1.16688,1.16256,1.16522,+0.00072 (+0.06%),1.00000,0.00000
EURUSD,Mon 27 Oct '25,1.16358,1.16520,1.16178,1.16450,+0.00196 (+0.17%),0.00000,1.00000
EURUSD,Fri 24 Oct '25,1.16168,1.16503,1.16009,1.16254,+0.00073 (+0.06%),1.00000,0.00000
EURUSD,Thu 23 Oct '25,1.16124,1.16202,1.15854,1.16181,+0.00081 (+0.07%),0.00000,0.00000
EURUSD,Wed 22 Oct '25,1.15998,1.16226,1.15770,1.16100,+0.00100 (+0.09%),1.00000,0.00000
EURUSD,Tue 21 Oct '25,1.16426,1.16553,1.15977,1.16000,−0.00413 (−0.35%),0.00000,1.00000
