Symbol,Date,Open,High,Low,Close,Change,Bullish Bias,Bearish Bias
EURUSD,Thu 18 Dec '25,1.17408,1.17628,1.17124,1.17246,−0.00155 (−0.13%),0.00000,0.00000
EURUSD,Wed 17 Dec '25,1.17476,1.17582,1.17031,1.17401,−0.00079 (−0.07%),1.00000,0.00000
EURUSD,Tue 16 Dec '25,1.17521,1.18042,1.17346,1.17480,−0.00059 (−0.05%),0.00000,1.00000
EURUSD,Mon 15 Dec '25,1.17330,1.17690,1.17265,1.17539,+0.00136 (+0.12%),0.00000,1.00000
EURUSD,Fri 12 Dec '25,1.17388,1.17498,1.17196,1.17403,+0.00017 (+0.01%),0.00000,0.00000
EURUSD,Thu 11 Dec '25,1.16928,1.17628,1.16823,1.17386,+0.00428 (+0.37%),1.00000,0.00000
EURUSD,Wed 10 Dec '25,1.16275,1.16998,1.16216,1.16958,+0.00692 (+0.60%),1.00000,0.00000
EURUSD,Tue 09 Dec '25,1.16352,1.16573,1.16151,1.16266,−0.00104 (−0.09%),1.00000,0.00000
EURUSD,Mon 08 Dec '25,1.16401,1.16722,1.16165,1.16370,−0.00068 (−0.06%),1.00000,0.00000
EURUSD,Fri 05 Dec '25,1.16464,1.16718,1.16280,1.16438,−0.00011 (−0.01%),0.00000,0.00000
EURUSD,Thu 04 Dec '25,1.16716,1.16820,1.16410,1.16449,−0.00265 (−0.23%),0.00000,1.00000
EURUSD,Wed 03 Dec '25,1.16242,1.16778,1.16211,1.16714,+0.00460 (+0.40%),1.00000,0.00000
EURUSD,Tue 02 Dec '25,1.16104,1.16260,1.15912,1.16254,+0.00162 (+0.14%),0.00000,0.00000
EURUSD,Mon 01 Dec '25,1.15938,1.16526,1.15894,1.16092,+0.00107 (+0.09%),0.00000,1.00000
EURUSD,Fri 28 Nov '25,1.15962,1.16076,1.15553,1.15985,+0.00025 (+0.02%),0.00000,0.00000
EURUSD,Thu 27 Nov '25,1.15935,1.16136,1.15766,1.15960,−0.00003 (−0.00%),0.00000,1.00000
EURUSD,Wed 26 Nov '25,1.15706,1.16009,1.15471,1.15963,+0.00266 (+0.23%),1.00000,0.00000
EURUSD,Tue 25 Nov '25,1.15218,1.15861,1.15116,1.15697,+0.00481 (+0.42%),1.00000,0.00000
EURUSD,Mon 24 Nov '25,1.15193,1.15506,1.15019,1.15216,+0.00086 (+0.07%),0.00000,0.00000
EURUSD,Fri 21 Nov '25,1.15275,1.15525,1.14912,1.15130,−0.00155 (−0.13%),1.00000,0.00000
EURUSD,Thu 20 Nov '25,1.15390,1.15500,1.15024,1.15285,−0.00099 (−0.09%),1.00000,0.00000
EURUSD,Wed 19 Nov '25,1.15818,1.15975,1.15178,1.15384,−0.00423 (−0.37%),0.00000,1.00000
EURUSD,Tue 18 Nov '25,1.15923,1.16078,1.15715,1.15807,−0.00116 (−0.10%),0.00000,1.00000
EURUSD,Mon 17 Nov '25,1.16199,1.16246,1.15820,1.15923,−0.00297 (−0.26%),0.00000,0.00000
GBPUSD,Thu 18 Dec '25,1.33760,1.34466,1.33411,1.33849,+0.00103 (+0.08%),0.00000,0.00000
GBPUSD,Wed 17 Dec '25,1.34234,1.34270,1.33116,1.33746,−0.00468 (−0.35%),1.00000,0.00000
GBPUSD,Tue 16 Dec '25,1.33723,1.34562,1.33554,1.34214,+0.00440 (+0.33%),1.00000,0.00000
GBPUSD,Mon 15 Dec '25,1.33778,1.34016,1.33550,1.33774,+0.00056 (+0.04%),0.00000,0.00000
GBPUSD,Fri 12 Dec '25,1.33910,1.34000,1.33424,1.33718,−0.00148 (−0.11%),0.00000,0.00000
GBPUSD,Thu 11 Dec '25,1.33796,1.34384,1.33549,1.33866,+0.00052 (+0.04%),0.00000,1.00000
GBPUSD,Wed 10 Dec '25,1.32976,1.33890,1.32961,1.33814,+0.00829 (+0.62%),1.00000,0.00000
GBPUSD,Tue 09 Dec '25,1.33217,1.33564,1.32874,1.32985,−0.00228 (−0.17%),0.00000,1.00000
GBPUSD,Mon 08 Dec '25,1.33268,1.33466,1.33058,1.33213,−0.00103 (−0.08%),1.00000,0.00000
GBPUSD,Fri 05 Dec '25,1.33272,1.33624,1.33162,1.33316,+0.00038 (+0.03%),0.00000,0.00000
GBPUSD,Thu 04 Dec '25,1.33527,1.33858,1.33221,1.33278,−0.00253 (−0.19%),0.00000,1.00000
GBPUSD,Wed 03 Dec '25,1.32070,1.33545,1.32058,1.33531,+0.01395 (+1.06%),1.00000,0.00000
GBPUSD,Tue 02 Dec '25,1.32180,1.32218,1.31797,1.32136,+0.00009 (+0.01%),1.00000,0.00000
GBPUSD,Mon 01 Dec '25,1.32270,1.32758,1.32056,1.32127,−0.00191 (−0.14%),0.00000,1.00000
